Entrée;Plat principal;Garniture;Produit laitier ou divers;Dessert
Salade de coquillettes au thon;Haché au poulet;Haricots verts;Mimolette;Glace vanille-fraise
Bouillon alphabet;Haché au poulet;Haricots verts;Camembert;Eclair au chocolat
Saucisson à l'ail;Haché au poulet;Carottes;Emmental;Gâteau au yaourt sauce chocolat au lait
Salade de coquillettes au thon;Haché au poulet sauce barbecue;Carottes;Gouda;Pomme
Potage de légumes;Haché au poulet sauce barbecue;Haricots verts;Tomme noire;Mousse au chocolat
Potage de légumes;Haché au poulet sauce forestière;Haricots verts;Vache Picon;Compote allégée pomme-banane
Œuf dur mayonnaise;Haché au poulet sauce forestière;Carottes;Petit Filou;Poire
Bouillon alphabet;Haché au poulet sauce forestière;Carottes;Emmental;Eclair au chocolat
Bouillon alphabet;Haché au veau;Purée de potiron;Rondelé;Crème Malo au chocolat
Crêpe au fromage;Haché au veau;Petits pois;Tomme noire;Poire
Tartine surimi-paprika;Haché au veau;Carottes;Gouda;Ménélik
Betterave vinaigrette;Haché au veau;Carottes et pommes de terre;Fol Epi;Compote allégée pomme-vanille
Bouillon alphabet;Haché au veau;Gratin de chou-fleur;Fol Epi;Banane
Potage de potiron;Haché au veau;Gratin de chou-fleur;Coulommiers;Compote allégée pomme-banane
Pâté Hénaff;Haché au veau;Gratin de chou-fleur;Yaourt nature sucré;Banane
Betterave vinaigrette;Haché au veau;Carottes et pommes de terre;Fol Epi;Compote allégée pomme-vanille
Pastèque;Haché au veau;Chou-fleur à la Vache Qui Rit;Fol Epi;Flan nappé caramel
Saucisson à l'ail;Haché au veau;Courgettes au fromage/Pommes de terre;Tomme noire;Liégeois au chocolat
Bouillon alphabet;Haché au veau;Gratin de brocolis;Yaourt nature sucré;Pomme
Potage de brocolis;Haché au veau;Petits pois;Flan nappé caramel;Banane
Pastèque;Haché au veau;Chou-fleur à la Vache Qui Rit;Fol Epi;Flan nappé caramel
Bouillon alphabet;Haché au veau sauce barbecue;Carottes;Kiri;Mousse au chocolat
Oeuf dur mayonnaise;Haché au veau sauce barbecue;Gratin de chou-fleur;Fol Epi;Flan nappé caramel
Potage de carottes;Haché au veau sauce barbecue;Petits pois;Fromage frais demi-sel;Flan nappé caramel
Œuf dur mayonnaise;Haché au veau sauce barbecue;Gratin de chou-fleur;Fol Epi;Flan nappé caramel
Crêpe au fromage;Haché au veau sauce brunoise;Gratin de gnocchi;Gouda;Pomme
Tartine surimi-paprika;Haché au veau sauce forestière;Jardinière de légumes;Ile flottante;
Lentilles vinaigrette;Haché au veau sauce forestière;Haricots verts;Riz au lait;Biscuit sablé coco
Tartine thon-ciboulette;Haché au veau sauce forestière;Haricots verts;Coulommiers;Donut's
Tomates vinaigrette au basilic;Haché au veau sauce forestière;Carottes;Yaourt aromatisé;Cerises
Betteraves;Haché au veau sauce forestière;Chou-fleur à la Vache Qui Rit;;Cake aux pralines roses
Bouillon alphabet;Haché au veau sauce forestière;Haricots verts;Riz au lait;Biscuit palmier
Saucisson à l'ail;Haché au veau sauce forestière;Haricots verts;Fromage blanc;Coulis de fruits exotiques
;Hachis au potiron;;Yaourt nature sucré;Poire
Salade Iceberg et croûtons;Hachis de bœuf au potiron;;Rondelé ail et fines herbes;"Fruit de saison ""Banane"""
Betteraves vinaigrette;Hachis de chou-fleur;;Camembert;Crêpe
Cake au fromage et sauce rose;Hachis de chou-fleur;;Yaourt Malo à la vanille;Banane
Betteraves vinaigrette;Hachis de chou-fleur;;Camembert;Crêpe
Velouté de courgettes au fromage;Hachis de chou-fleur;;Saint Paulin;"Fruit de saison ""Banane"""
Carottes râpées vinaigrette;Hachis de chou-fleur;;Gouda;Choux vanille sauce chocolat
Salade de coquillettes au thon;Hachis de chou-fleur;;Yaourt nature sucré Vrai;Nectarine
Pâté de campagne;Hachis de chou-fleur;;P'tit Louis;Madeleine
Salade Iceberg et croûtons;Hachis de chou-fleur;;Gouda;Liégeois au chocolat
Carottes râpées vinaigrette;Hachis de chou-fleur;;Gouda;Choux vanille sauce chocolat
Œuf dur mayonnaise;Hachis de chou-fleur;;Yaourt aux fruits mixés;Banane
Salade de coquillette au thon;Hachis de chou-fleur;;Fol Epi;Mousse au chocolat
Tartine surimi-paprika;Hachis de chou-fleur;;Brie;Eclair au chocolat
Bouillon alphabet;Hachis de chou-fleur;;Brie;Gâteau au chocolat épicé chantilly
Tartine surimi-paprika;Hachis de chou-fleur;;Emmental;Pomme
Pâté de campagne et cornichons;Hachis de chou-fleur;;Saint Paulin;Banane
Carottes râpées vinaigrette;Hachis de chou-fleur;;Kiri;Cake au Daim
Tomates vinaigrette;Hachis de chou-fleur;;Vache Qui Rit;Beignet au chocolat
Melon;Hachis de chou-fleur;;Camembert;Beignet au chocolat
Melon;Hachis de chou-fleur;;Vache Picon;Banane
Carottes râpées au miel;Hachis de chou-fleur au curry;;Mimolette;Cake aux poires
Carottes râpées au miel;Hachis de chou-fleur au curry;;Mimolette;Cake aux poires
Pâté de campagne;Hachis de potiron;;Tomme noire;Gâteau moelleux aux myrtilles
Tartine thon-ciboulette;Hachis du potager;;Coulommiers;Flan nappé au caramel
Salade Iceberg;Hachis du potager;;Edam;Semoule au lait
Salade Iceberg et croûtons;Hachis du potager;;Gouda;Banane
Saucisson sec;Hachis du potager;;Camembert;Banane
Salade Iceberg et croûtons;Hachis du potager;;Coulommiers;Flan nappé caramel
Saucisson à l'ail;Hachis du potager;;Mélusin;Crème dessert caramel
Potage de courgettes au fromage;Hachis du potager;;Coulommiers;Liégeois au chocolat
Carottes râpées à la vanille;Hachis du potager;;Emmental;Pomme
Bouillon alphabet;Hachis du potager;;Flan nappé caramel;Petit beurre
Salade Icerberg et croûtons;Hachis du potager;;Gouda;Banane
Carottes râpées vinaigrette;Hachis du potager;;Coulommiers;Crêpe
Betteraves vinaigrette;Hachis du potager;;Coulommiers;Mousse au chocolat
Salade Iceberg;Hachis du potager;;Camembert;Lacté vanille
Bouillon alphabet;Hachis du Potager;;Gouda;Beignet aux pommes
Feuilleté au fromage;Hachis du potager;;Cantal;Mousse au chocolat
Salade Iceberg;Hachis du potager;;Camembert;Lacté vanille
Salade de coquillettes au thon;Hachis du potager;;Fromage blanc;Clémentine
Carottes râpées vinaigrette;Hachis parmentier;;Camembert;Crêpe
Salade Iceberg;Hachis Parmentier;;Vache Picon;Kiwi
Salade Iceberg;Hachis Parmentier;;Vache picon;Clémentine
Potage de légumes;Hachis Parmentier;;Yaourt aromatisé;Pomme
Tomates vinaigrette à la ciboulette;Hachis Parmentier;;Camembert;Mousse au chocolat
;Hachis parmentier;;Petit roulé;Pomme
;Hachis parmentier;;Tomme noire;Pêche
;Hachis parmentier;;Yaourt nature sucré;Clémentine Global Gap
;Hachis parmentier;;Mimolette;Kiwi
;Hachis parmentier;;Camembert;Pomme
Salade verte vinaigrette;Hachis parmentier;;Bûche de lait de vache et chèvre;Purée de pomme coing
Potage de légumes;Hachis parmentier;;Carré;Pomme
;Hachis parmentier aux brocolis;;Yaourt aromatisé;Banane
;Hachis parmentier de bœuf;;Camembert;Banane
;Hachis parmentier de Bœuf;;Brie;Orange
Dips de carottes sauce fromage blanc curry;Hot Dog;Pommes Wedges;;Milk Shake chocolat et pop corn
Dips de carottes- houmous;Hot Dog;;Yaourt à boire;Pomme
Carottes râpées et crumble salé;Hot Dog de volaille;Pommes de terre Wedge;;Milk shake chocolat
Salade Iceberg;Hot dog Vosgien;;Milk Shake Banane;Cookie
Crêpe au fromage;Jambon;Coquillettes;Edam;Kiwi
Velouté potiron-châtaigne;Jambon;Coquillettes;Fromage râpé;Clémentine
;Jambon;Macaronis semi-complets;Coulommiers;Abricots
Carottes râpées et dés de mimolette;Jambon;Purée de pommes de terre;;Compote de poire
;Jambon;Macaronis semi-complets;Coulommiers;Abricots
Crêpe au fromage;Jambon Blanc;Purée de pommes de terre;Petit Filou;Orange
Crêpe au fromage;Jambon blanc;Purée de pomme de terre;Tomme noire;Pomme
Friand au fromage;Jambon blanc;Coquillettes;Melusin;Compote allégée pommes-vanille
Crêpe au fromage;Jambon blanc;Coquillettes;Gouda;Pêche plate
Crêpe au fromage;Jambon blanc;Coquillettes;Gouda;Pêche plate
Friand au fromage;Jambon blanc;Purée de carottes;Saint Paulin;Pêche
Friand au fromage;Jambon blanc;Purée de carottes;Saint Paulin;Pêche
Crêpe au fromage;Jambon blanc;Tortis;Yaourt Malo à la vanille;Kiwi
Tomate cerise;Jambon blanc;Fusilli au quinoa;Mélusin;Compote pomme-vanille
Friand au fromage;Jambon blanc;Coquillettes;Yaourt nature sucré;Nectarine
Crêpe au fromage;Jambon blanc;Tortis;Yaourt aromatisé;Prune
;Jambon blanc;Purée de pommes de terre;Yaourt nature sucré;Orange
Feuilleté au fromage;Jambon blanc;Coquillettes;Yaourt aromatisé;Nectarine
Salade de perles au surimi;Jambon blanc;Carottes;Yaourt aromatisé;Nectarine
;Jambon blanc;Purée de pommes de terre;Yaourt nature sucré;Pomme
Concombre sauce fromage blanc-ciboulette;Jambon Blanc;Coquillettes;Yaourt aromatisé;
Concombre sauce fromage blanc-ciboulette;Jambon Blanc;Coquillettes;;Glace au chocolat
Feuilleté au fromage;Jambon blanc;Coquillettes;Yaourt aromatisé;Pêche
Feuilleté au fromage;Jambon blanc;Coquillettes;Yaourt aromatisé;Nectarine
Salade Coleslaw;Jambon blanc;Tortis;;Yaourt aux fruits mixés
Tomates Bio vinaigrette basilic;Jambon blanc;Gratin de chou fleur;;Riz au lait
Accras de morue;Jambon blanc;Macaronis semi-complètes;Fromage râpé;Fraises
Pastèque;Jambon blanc;Coquillettes;Fromage râpé;Cerises
Feuilleté au fromage;Jambon blanc;Purée de pommes de terre;Gouda;Clémentine
Crêpe au fromage;Jambon blanc;Tortis;Yaourt Malo à la vanille;Pomme
;Jambon blanc;Coquillettes;Fromage frais;Fraises
Salade vinaigrette, maïs, croûtons, dés d'emmental;Jambon blanc;Duo haricots verts et beurre;;Riz au lait
Crêpe au fromage;Jambon blanc;Coquillettes;Petit Suisse;"Fruit de saison ""Poire"""
;Jambon blanc;Pommes paillasson;Yaourt brassé sucré;Pomme
Crêpe au fromage;Jambon blanc;Coquillettes;Mélusin;Pomme
Pastèque;Jambon blanc;Coquillettes;Fromage râpé;Cerises
Tomates vinaigrette basilic;Jambon blanc;Purée de haricots verts;;Yaourt aux fruits mixés
;Jambon blanc;Petits pois fermière;Gouda;Cake poire chocolat
Crêpe au fromage;Jambon Blanc;Coquillettes;Mélusin;Clémentine
Velouté de légumes verts et fromage frais;Jambon Blanc;Purée de pommes de terre;;Poire
;Jambon blanc;Ratatouille et blé;Emmental;Pomme
Feuilleté au fromage;Jambon blanc;Coquillettes;Yaourt aromatisé;Nectarine
Potage de légumes;Jambon blanc;Coquillettes;Fol Epi;
Carottes râpées et dés d'emmental;Jambon blanc;Brocolis au fromage fondu;;Riz au lait
Velouté de potiron au fromage frais;Jambon blanc;Purée;;Pomme
Crêpe au fromage;Jambon blanc;Tortis;Fromage blanc;Coulis de fruits rouges
Tomates vinaigrette;Jambon blanc;Purée de pommes de terre;Yaourt nature sucré;
Velouté de chou fleur saveur vanille;Jambon blanc;Purée;;Pomme
Velouté de légumes verts et fromage frais;Jambon blanc;Purée de pommes de terre;;Pomme
Potage fermier;Jambon blanc;Carottes et Riz;Edam;Kiwi
Salade de poivrons et tomates;Jambon blanc;Duo de courgettes/ Riz;Gouda;Banane
Salade coleslaw;Jambon blanc;Purée de pommes de terre;Yaourt aux fruits mixés;
Betteraves vinaigrette;Jambon blanc;Carottes et semoule;Gouda;Pomme
Betteraves vinaigrette;Jambon blanc;Purée de courgettes;Saint Nectaire;Prune
Macédoine de légumes;Jambon blanc;Duo de courgettes / Riz;Chaussée aux moines;Pomme
Carottes râpées;Jambon blanc;Purée de pommes de terre;Fromage blanc nature;Coulis de fruits rouges
Velouté de légumes;Jambon blanc;Petits pois et mélange 5 céréales;Saint-Nectaire;Clémentine
Potage Dubarry;Jambon blanc;Gratin de panais et patate douce / Nouvelle recette;Gouda;Poire
Soupe Darblay;Jambon blanc;Purée de potiron;Gouda;Clémentine
Betteraves vinaigrette;Jambon blanc;Purée de courgettes;Saint Nectaire;Prune
Crêpe au fromage;Jambon blanc Label Rouge;Frites;Smoothie fraise-pastèque;Palmier
Crêpe au fromage;Jambon blanc Label Rouge;Petits pois;Yaourt Malo à la vanille;Cerises
Concombre et mozzarella;Jambon Blanc Label Rouge;Purée de pommes de terre;;Compote de pommes-vanille
;Jambon Label Rouge;Purée;Yaourt nature sucré;Banane
Feuilleté au fromage;Jambonneau;Purée de pommes de terre;Petit Filou;Pomme
Salade Iceberg œuf dur et crôutons;Korma butternut, marron, pdt et riz;;Tomme noire;Brownie mexicain
Salade Iceberg et croûtons;Lasagnes;;Vache Picon;Compote pommes-framboises allégée en sucre
Céleri râpé sauce cocktail;Lasagnes;;Camembert;Liégeois au chocolat
Potage de légumes;Lasagnes;;Petit Filou;Pomme
Salade Iceberg;Lasagnes;;Yaourt aux fruits mixés;Kiwi
Salade Iceberg;Lasagnes de bœuf;;Coulommiers;Liégeois au chocolat
Salade Iceberg et croutons;Lasagnes de bœuf;;Petit Filou;Pomme
Carottes râpées et dés de mimolette;Lentilles corail coco curry cajou et ciboule;Riz;;Clafoutis aux abricots
Tomates vinaigrette;Limande;Macaronis semi-complètes;P'tit Malin aux fruits;Pomme
;Macaroni semi-complète aux légumes du sud;;Saint Paulin;Cerises
Melon;Macaroni semi-complète sauce 3 fromages;;Yaourt à la vanille;
;Macaronis à la Bolognaise végétale;;Saint Paulin;Pomme
Comme une salade Caesar;Macaronis semi-complètes au cheddar;;;Smoothie pomme-banane et sirop d'érable
Salade verte, noix et vinaigrette à l'huile d'olive;Macaronis semi-complètes aux légumes du Sud, haricots rouges et féta;;Tomme de brebis;Gâteau amandes et miel
Velouté de chou-fleur;Macaronis semi-complètes sauce 3 fromages;;;Compote pomme/ananas allégée en sucré
Potage fermier;Macaronis semi-complètes sauce 3 fromages;;;Pomme
Velouté de légumes et lentilles;Macaronis semi-complètes sauce aux 3 fromages;;;Banane
Salade coleslaw;Macaronis semi-complets sauce aux 3 fromages;;Yaourt nature  les Vergers et coulis de fruits rouges;
Salade Iceberg façon César;Macaronis semi-complets, sauce aux fromages  (Cheddar);;Purée de pomme;Carrot cake
Soupe montagnarde (poireau, céleri, oignon, carottes, pdt);Maccaroni semi-complète sauce aux 3 fromages;;;Clémentine
Betteraves vinaigrette;Marmite de poisson à l'orientale;Tortis;Petit Moulé ail et fines herbes;Clémentine
Tomates vinaigrette;Marmite de poisson à l'orientale;Pommes de terre;Gouda;Compote de pommes allégée
Tomates à la ciboulette;Marmite de poisson à l'orientale;Semoule;Emmental;Compote allégée pomme abricot
Céleri rémoulade;Marmite de poisson à l'orientale;Coquillettes;Yaourt Malo à la vanille;"Fruit de saison ""Pomme"""
Carottes râpées;Marmite de poisson sauce persane;Semoule;Mousse au chocolat;Biscuit sablé coco
Velouté de potiron;Médaillon de merlu sauce espagnole;Riz;Port Salut;Orange
Tomates antiboise;Médaillon de merlu sauce espagnole (tomate, poivrons);Boulgour;Fromage frais sucré Malo;
"Menu élaboré par les ""Cuisiniers d'un jour"" de l'école Amélie Fristel";"Menu élaboré par les ""Cuisiniers d'un jour"" de l'école Amélie Fristel";"Menu élaboré par les ""Cuisiniers d'un jour"" de l'école Amélie Fristel";"Menu élaboré par les ""Cuisiniers d'un jour"" de l'école Amélie Fristel";"Menu élaboré par les ""Cuisiniers d'un jour"" de l'école Amélie Fristel"
Carottes râpées à l'orange;Merlu sauce crème;Pommes paillasson;Brie;Far Breton nature
Concombre vinaigrette;Merlu sauce espagnole;Carottes et Macaronis semi-complet;Riz au lait;
Pastèque;Merlu sauce espagnole (tomates, poivron, épices);Semoule;Yaourt nature sucré Le P'tit Gallo;
Melon;Merlu sauce Retour des Indes;Brunoise de légumes / Semoule;Petit fromage frais sucré et confiture;
Carottes râpées vinaigrette;Mijoté de bœuf;Haricots verts et pommes de terre;Emmental;Flan nappé caramel
Œuf dur mayonnaise;Mijoté de bœuf;Haricots verts;Emmental;Compote allégée de pomme
Tomates et crumble;Mijoté de bœuf;Gratin de chou-fleur;Petit Filou;Donut
;Mijoté de bœuf;Carottes et flageolets;Fromage blanc sucré;Fraises
Potage de brocolis à la fourme d'Ambert;Mijoté de bœuf;Purée façon aligot;Yaourt aromatisé;"Fruit de saison ""Kiwi"""
;Mijoté de bœuf;Haricots verts et pommes de terre Bio;Yaourt nature sucré;Mangue
Potage de potiron;Mijoté de bœuf;Pomme paillasson;Coulommiers;Galette des Rois
Salade verte vinaigrette et Cantal AOP;Mijoté de bœuf;Lentilles;Lacté chocolat;
;Mijoté de bœuf;Pommes noisettes;Fromage frais aux fruits;Kaki
Betteraves vinaigrette;Mijoté de bœuf;Chou-fleur et gnocchetis;Fol Epi;Dessert de Pâques
Potage de légumes verts;Mijoté de bœuf;Semoule;Gouda;Mousse au chocolat
Bouillon alphabet;Mijoté de bœuf;Carottes;Yaourt nature sucré Le P'tit Gallo;Muesli croustillant
;Mijoté de bœuf;Carottes et macaronis semi-complètes;Fromage blanc sucré;Banane
;Mijoté de bœuf;Haricots verts et pommes de terre;Fromage frais sucré;Clémentine
Carottes râpées et mozzarella;Mijoté de bœuf;Pommes paillasson;Yaourt nature sucré;
Carottes râpées vinaigrette;Mijoté de bœuf;Duo courgettes, riz, béchamel et parmesan;Brie;Beignet au chocolat
;Mijoté de bœuf;Panais et pommes de terre;Yaourt aromatisé;Banane
Salade de coquillettes au thon;Mijoté de bœuf;Petit pois;Fol Epi;Pomme
Melon;Mijoté de bœuf;Pommes noisettes;Brie;Nectarine plate
Salade de coquillettes au thon;Mijoté de bœuf;Haricots verts;Mélusin;Poire
Tomates vinaigrette ciboulette;Mijoté de bœuf;Carottes / semoule;Riz au lait;
Salade de pépinettes et maïs;Mijoté de bœuf;Haricots verts;Coulommiers;Banane
Saucisson à l'ail et cornichons;Mijoté de bœuf;Carottes / Pommes de terre;Carré;Raisin
Guacamole;Mijoté de bœuf;Semoule;Yaourt nature sucré;
Velouté de courgettes;Mijoté de bœuf;Pommes paillasson;Pointe de brie;Pomme
;Mijoté de bœuf;Semoule;Lacté saveur chocolat;Clémentine
Avocat sauce crémeuse;Mijoté de bœuf local;Pommes noisettes;;Yaourt Bio à la vanille
Potage de courgettes;Moelleux de poulet au jus;Petits pois;Edam;Mousse au chocolat
Pâté de campagne et cornichon;Moelleux de poulet au jus;Carottes en bâtonnet;Petit filou;"Fruit de saison ""Banane"""
Saucisson à l'ail;Moelleux de poulet au jus;Haricots verts;Fromage fondu au camembert;"Fruit de saison ""Clémentine"""
Pâté de volaille;Moelleux de poulet au jus;Ratatouille;Tomme noire;Liégeois au chocolat
Betteraves vinaigrette;Moelleux de poulet au jus;Purée de potiron;Rondelé;Mousse au chocolat
Bouillon alphabet;Moelleux de poulet au jus;Petits pois;Saint Paulin;Compote allégée de pomme-banane
Melon;Moelleux de poulet sauce barbecue;Pommes smile;Petit Suisse;Petits beurre
Tomates vinaigrette à la ciboulette;Moelleux de poulet sauce barbecue;Semoule;Kiri;Yaourt aromatisé
Betteraves vinaigrette;Moelleux de poulet sauce barbecue;Pommes smile;Yaourt aromatisé;Pomme
